model_id,family,size_b,reasoning,size_group,villager_accuser__target_shift__suspect,villager_accuser__target_shift__suspect_ci95,villager_accuser__target_shift__suspect_n,villager_accuser__target_shift__accuse,villager_accuser__target_shift__accuse_ci95,villager_accuser__target_shift__accuse_n,villager_accuser__accuser_shift__suspect,villager_accuser__accuser_shift__suspect_ci95,villager_accuser__accuser_shift__suspect_n,villager_accuser__accuser_shift__accuse,villager_accuser__accuser_shift__accuse_ci95,villager_accuser__accuser_shift__accuse_n,wolf_accuser__target_shift__suspect,wolf_accuser__target_shift__suspect_ci95,wolf_accuser__target_shift__suspect_n,wolf_accuser__target_shift__accuse,wolf_accuser__target_shift__accuse_ci95,wolf_accuser__target_shift__accuse_n,wolf_accuser__accuser_shift__suspect,wolf_accuser__accuser_shift__suspect_ci95,wolf_accuser__accuser_shift__suspect_n,wolf_accuser__accuser_shift__accuse,wolf_accuser__accuser_shift__accuse_ci95,wolf_accuser__accuser_shift__accuse_n
Qwen/Qwen3-14B,Qwen,14.0,True,10-29B,0.6904761904761905,0.10104999399783927,378,1.234993614303959,0.09239804207665156,783,-0.12259615384615384,0.0734958516331284,416,-0.13080684596577016,0.06861377507488273,818,0.3778337531486146,0.08379148457690508,397,0.9408284023668639,0.09982501735925954,676,0.10952380952380952,0.0805146268979991,420,0.03515625,0.07095789325066768,768
microsoft/phi-4,Phi,14.0,False,10-29B,0.8909574468085106,0.14011102961109503,376,1.3680823680823682,0.10543349954514962,777,-0.4927536231884058,0.13352063569271055,414,-0.33497536945812806,0.09388226928948329,812,0.6743002544529262,0.12851314760499363,393,1.401188707280832,0.11211085509035994,673,-0.5745192307692307,0.13373023691861105,416,-0.5411764705882353,0.11104260572463298,765
mistralai/Ministral-3-14B-Instruct-2512,Mistral,14.0,False,10-29B,0.5132275132275133,0.16057094683248765,378,1.4002557544757033,0.11000137205941872,782,-1.2692307692307692,0.15034857907751123,416,-1.0428396572827416,0.11390321916001282,817,0.28463476070528965,0.14935152771333052,397,1.084319526627219,0.1266818397437678,676,-0.9595238095238096,0.16822059679448392,420,-1.0299479166666667,0.13334154811787155,768
openai/gpt-oss-20b-nr,GPT-OSS,20.0,False,10-29B,0.40848806366047746,0.0814998452845954,377,0.9114249037227214,0.06908166930548507,779,-0.01927710843373494,0.064114858613726,415,-0.013513513513513514,0.054242400434428115,814,0.27525252525252525,0.0871138876822671,396,0.7051851851851851,0.08312639841976366,675,0.0477326968973747,0.0677144212092749,419,0.11082138200782268,0.06714851159336223,767
openai/gpt-oss-20b-r,GPT-OSS,20.0,True,10-29B,0.5437665782493368,0.08482942328812412,377,0.9641485275288092,0.0690923701409756,781,-0.13493975903614458,0.0624538320192985,415,-0.1642156862745098,0.057280194162649754,816,0.3954659949622166,0.08855357412486836,397,0.7563150074294205,0.08129496611445426,673,0.014285714285714285,0.06704519427059051,420,0.134640522875817,0.05996871499037136,765
google/gemma-4-26B-A4B-it,Gemma,26.0,False,10-29B,0.544973544973545,0.08837721546930635,378,0.648786717752235,0.07582601416164114,783,-0.16826923076923078,0.07754343399384077,416,-0.08068459657701711,0.05101073232352215,818,0.32997481108312343,0.08028393324703943,397,0.47337278106508873,0.08341760314784676,676,0.047619047619047616,0.08240201947511541,420,0.05078125,0.07493492567535816,768
google/gemma-4-26B-A4B-it-r,Gemma,26.0,True,10-29B,0.9470899470899471,0.09781784018519264,378,1.103448275862069,0.08271964842408391,783,-0.11057692307692307,0.08371069941756107,416,-0.05990220048899755,0.06406741499588386,818,0.4181360201511335,0.10446418981689189,397,0.7736686390532544,0.10094623970806181,676,0.34285714285714286,0.10200335371278499,420,0.2890625,0.09284644367865048,768
Qwen/Qwen3.6-27B,Qwen,27.0,True,10-29B,0.6190476190476191,0.09729295982463106,378,0.7982120051085568,0.07614395141099127,783,-0.4230769230769231,0.11472996244734056,416,-0.6454767726161369,0.08734431789398453,818,0.2518891687657431,0.09493256313530071,397,0.5192307692307693,0.09279307806297564,676,0.11666666666666667,0.13126256326330216,420,-0.12630208333333334,0.11290761810067637,768
Qwen/Qwen3.6-27B-nothink,Qwen,27.0,False,10-29B,0.5915119363395226,0.10268762095375404,377,0.909323116219668,0.08584396643086344,783,-0.5734939759036145,0.14859433718893833,415,-0.7701711491442543,0.10009011587689538,818,0.15869017632241814,0.1097584067296806,397,0.3816568047337278,0.1145850762283102,676,0.030952380952380953,0.16296633390919013,420,-0.13932291666666666,0.13299338011866882,768
Qwen/Qwen3-30B-A3B,Qwen,30.0,True,>=30B,0.9206349206349206,0.10456796754077827,378,1.5095785440613028,0.07855943087951557,783,-0.6177884615384616,0.1149905224481788,416,-0.5464547677261614,0.09182145649279859,818,0.6851385390428212,0.09503948343852103,397,1.3357988165680474,0.0916070958840709,676,-0.4595238095238095,0.13051443001163612,420,-0.44921875,0.1119583985389156,768
zai-org/GLM-4.7-Flash,GLM,30.0,True,>=30B,0.5570291777188329,0.11512151706830868,377,0.8514724711907811,0.08788417214761238,781,-0.30843373493975906,0.10891380485092286,415,-0.4178921568627451,0.0838966724504437,816,0.2474747474747475,0.10763777768017715,396,0.42729970326409494,0.09699814762115203,674,-0.2100238663484487,0.1235136837821528,419,-0.01568627450980392,0.09481822955284087,765
google/gemma-4-31B-it,Gemma,31.0,False,>=30B,0.5793650793650794,0.08751644571520557,378,0.8492975734355045,0.07481817119731446,783,-0.2668269230769231,0.11315234876315877,416,-0.11858190709046455,0.06987944674172997,818,0.3425692695214106,0.0814379084107434,397,0.5532544378698225,0.07471619235235807,676,0.4,0.12439022950577593,420,0.296875,0.0980556342653492,768
google/gemma-4-31B-it-r,Gemma,31.0,True,>=30B,0.6534391534391535,0.08986918109506196,378,0.7445721583652618,0.07868855381415006,783,0.007211538461538462,0.10345420047896556,416,-0.03300733496332518,0.0684084289087665,818,0.22418136020151133,0.08690126423808595,397,0.40236686390532544,0.09287497986308987,676,0.5928571428571429,0.11552594270013197,420,0.4309895833333333,0.09335480179083051,768
allenai/Olmo-3.1-32B-Instruct,Olmo,32.0,False,>=30B,0.5476190476190477,0.10711792991247389,378,1.0438144329896908,0.08858572872512109,776,-0.5625,0.12783338811064976,416,-0.3374384236453202,0.09377829260060443,812,0.3569620253164557,0.09769643755567294,395,0.9507462686567164,0.10801757848424688,670,-0.46411483253588515,0.1381494788033108,418,-0.2802631578947368,0.12374469219242783,760
allenai/Olmo-3.1-32B-Think,Olmo,32.0,True,>=30B,0.5634920634920635,0.0958741493145834,378,0.8837803320561941,0.07874871159459841,783,-0.6370192307692307,0.119912771785189,416,-0.5941320293398533,0.0856853665040256,818,0.27455919395465994,0.09419117844809624,397,0.6859259259259259,0.09019474410803813,675,-0.48333333333333334,0.1184651198432025,420,-0.546284224250326,0.09499491746180772,767
Qwen/Qwen3.6-35B-A3B,Qwen,35.0,True,>=30B,0.5079365079365079,0.09410039446671987,378,0.6424010217113666,0.07808658189858986,783,-0.07211538461538461,0.10049283233059629,416,-0.1528117359413203,0.07474443348305955,818,0.23425692695214106,0.07451279766661838,397,0.3742603550295858,0.08706174904395171,676,0.23809523809523808,0.11156665037308727,420,0.4296875,0.09487445247089439,768
Qwen/Qwen3.6-35B-A3B-nothink,Qwen,35.0,False,>=30B,0.632,0.12617503010400624,375,0.6593548387096774,0.09762170158548474,775,-0.02912621359223301,0.1755013825320973,412,-0.3728395061728395,0.1162048394865575,810,0.07653061224489796,0.11865292505471967,392,0.12893553223388307,0.11069484823186401,667,0.6370192307692307,0.17435760444380655,416,0.4426877470355731,0.13204604025710645,759
meta-llama/Llama-3.3-70B-Instruct,Llama,70.0,False,>=30B,0.3888888888888889,0.12968023376157709,378,1.144316730523627,0.10480372366809113,783,-2.0360576923076925,0.12573463023425174,416,-1.743276283618582,0.11220163254386442,818,0.26448362720403024,0.12478462141622852,397,0.7174556213017751,0.12960029505717724,676,-1.4833333333333334,0.14603123723621733,420,-1.2747395833333333,0.1399916658845577,768
openai/gpt-oss-120b,GPT-OSS,120.0,True,>=30B,0.8068783068783069,0.09095769329106791,378,1.127713920817369,0.0780607189569086,783,-0.3125,0.10499107932448411,416,-0.31295843520782396,0.08489787816819759,818,0.48866498740554154,0.1077583618487154,397,0.7633136094674556,0.10486343236611168,676,0.02142857142857143,0.10905505751139943,420,0.15234375,0.09801782573731067,768
openai/gpt-oss-120b-nr,GPT-OSS,120.0,False,>=30B,0.6888297872340425,0.09576330142021235,376,1.0591259640102828,0.07189122179825154,778,-0.3050847457627119,0.10534657143162918,413,-0.1980319803198032,0.08141734240469356,813,0.5681818181818182,0.09700620117464942,396,0.905829596412556,0.09304306766525691,669,-0.18615751789976134,0.10797028932444923,419,-0.052562417871222074,0.09601423899905075,761
